brewery_name,city,state,abv,beer_name,style,ounces,latitude,longitude,rating
NorthGate Brewing ,Minneapolis, MN,0.045,Get Together,American IPA,16,44.9983322,-93.2211744,4.2
NorthGate Brewing ,Minneapolis, MN,0.049,Maggie's Leap,Milk / Sweet Stout,16,44.9983322,-93.2211744,4.2
NorthGate Brewing ,Minneapolis, MN,0.048,Wall's End,English Brown Ale,16,44.9983322,-93.2211744,4.2
NorthGate Brewing ,Minneapolis, MN,0.06,Pumpion,Pumpkin Ale,16,44.9983322,-93.2211744,4.2
NorthGate Brewing ,Minneapolis, MN,0.06,Stronghold,American Porter,16,44.9983322,-93.2211744,4.2
NorthGate Brewing ,Minneapolis, MN,0.056,Parapet ESB,Extra Special / Strong Bitter (ESB),16,44.9983322,-93.2211744,4.2
Against the Grain Brewery,Louisville, KY,0.08,Citra Ass Down,American Double / Imperial IPA,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.125,London Balling,English Barleywine,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.077,35 K,Milk / Sweet Stout,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.042,A Beer,American Pale Ale (APA),16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.05,Rules are Rules,German Pilsener,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.066,Flesh Gourd'n,Pumpkin Ale,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.04,Sho'nuff,Belgian Pale Ale,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.055,Bloody Show,American Pilsner,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.076,Rico Sauvin,American Double / Imperial IPA,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.051,Coq de la Marche,Saison / Farmhouse Ale,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.065,Kamen Knuddeln,American Wild Ale,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.06,Pile of Face,American IPA,16,38.2554896,-85.7440216,4.4
Against the Grain Brewery,Louisville, KY,0.05,The Brown Note,English Brown Ale,16,38.2554896,-85.7440216,4.4
Jack's Abby Craft Lagers,Framingham, MA,0.052,House Lager,Keller Bier / Zwickel Bier,16,42.2801844,-71.4111676,4.6
Jack's Abby Craft Lagers,Framingham, MA,0.048,Leisure Time,American Pale Lager,12,42.2801844,-71.4111676,4.6
Jack's Abby Craft Lagers,Framingham, MA,0.072,Excess IPL,American India Pale Lager,16,42.2801844,-71.4111676,4.6
Jack's Abby Craft Lagers,Framingham, MA,0.067,Hoponius Union,American India Pale Lager,12,42.2801844,-71.4111676,4.6
Jack's Abby Craft Lagers,Framingham, MA,0.049,Calyptra,American India Pale Lager,12,42.2801844,-71.4111676,4.6
Mike Hess Brewing Company,San Diego, CA,0.08,Habitus (2014),American Double / Imperial IPA,16,32.7477013,-117.1285406,4.6
Mike Hess Brewing Company,San Diego, CA,0.075,Solis,American IPA,16,32.7477013,-117.1285406,4.6
Mike Hess Brewing Company,San Diego, CA,0.06,Jucundus,Wheat Ale,16,32.7477013,-117.1285406,4.6
Mike Hess Brewing Company,San Diego, CA,0.08,Habitus,American Double / Imperial IPA,16,32.7477013,-117.1285406,4.6
Mike Hess Brewing Company,San Diego, CA,0.063,Grazias,Cream Ale,16,32.7477013,-117.1285406,4.6
Mike Hess Brewing Company,San Diego, CA,0.058,Claritas,Kölsch,16,32.7477013,-117.1285406,4.6
Fort Point Beer Company,San Francisco, CA,0.047,Park,American Pale Wheat Ale,12,37.8031053,-122.4648487,3.7
Fort Point Beer Company,San Francisco, CA,0.056,Westfalia,American Amber / Red Ale,12,37.8031053,-122.4648487,3.7
Fort Point Beer Company,San Francisco, CA,0.046,KSA,Kölsch,12,37.8031053,-122.4648487,3.7
Fort Point Beer Company,San Francisco, CA,0.063,Villager,American IPA,12,37.8031053,-122.4648487,3.7
COAST Brewing Company,Charleston, SC,0.093,Blackbeard,American Double / Imperial Stout,12,32.8735877,-79.9720038,4.7
COAST Brewing Company,Charleston, SC,0.062,Rye Knot,American Brown Ale,12,32.8735877,-79.9720038,4.7
COAST Brewing Company,Charleston, SC,0.06,Dead Arm,American Pale Ale (APA),12,32.8735877,-79.9720038,4.7
COAST Brewing Company,Charleston, SC,0.048,32°/50° Kölsch ,Kölsch,16,32.8735877,-79.9720038,4.7
COAST Brewing Company,Charleston, SC,0.077,HopArt,American IPA,16,32.8735877,-79.9720038,4.7
COAST Brewing Company,Charleston, SC,0.097,Boy King,American Double / Imperial IPA,16,32.8735877,-79.9720038,4.7
Great Divide Brewing Company,Denver, CO,0.05,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.087,Hibernation Ale,Old Ale,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.061,Whitewater,American Pale Wheat Ale,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.071,Rumble,American IPA,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.083,Orabelle,Tripel,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.05,Lasso,American IPA,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.095,Yeti  Imperial Stout,Russian Imperial Stout,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.073,Colette,Saison / Farmhouse Ale,12,39.7538085,-104.9885278,4.6
Great Divide Brewing Company,Denver, CO,0.071,Titan IPA,American IPA,12,39.7538085,-104.9885278,4.6
Tapistry Brewing,Bridgman, MI,0.065,Peck's Porter,American Porter,16,41.9427766,-86.556101,4.4
Tapistry Brewing,Bridgman, MI,0.07,Reactor,American IPA,16,41.9427766,-86.556101,4.4
Tapistry Brewing,Bridgman, MI,0.057,Mr. Orange,Witbier,16,41.9427766,-86.556101,4.4
Big Lake Brewing,Holland, MI,0.08,Dark Star,American Stout,16,42.791459,-86.107906,4.5
Big Lake Brewing,Holland, MI,0.062,Ryecoe,American IPA,16,42.791459,-86.107906,4.5
The Mitten Brewing Company,Grand Rapids, MI,0.052,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16,42.9851272,-85.6811017,4.6
Brewery Vivant,Grand Rapids, MI,0.067,Belfort,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.06,Star Runner,Belgian Pale Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.098,Tart Side of the Barrel,American Double / Imperial Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.06,Linnaeus Mango IPA,American IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.07,Beasts A'Burnin',Rauchbier,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.077,Verdun,Bière de Garde,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Barrel Aged Triomphe,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Cherry Doppelbock,Doppelbock,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Tropical Saison,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Beach Patrol,Witbier,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.05,Nuit Serpent,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.09,Paris,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.055,The Grand Army,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.059,Acidulated Trip,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.066,Root Stock,Rye Beer,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.041,Mind Games,Dunkelweizen,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.082,Sous Chef,Belgian Strong Pale Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Dubbelicious,Dubbel,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.062,Psychopomp,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,,Fat Paczki,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,,Earth-Like Planets,Belgian Pale Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.061,Ski Patrol,Witbier,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.063,Viking Ice Hole,Oatmeal Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.056,Rye Porter,American Porter,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.099,Wizard Burial Ground,Quadrupel (Quad),16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.051,Smoky Wheat,Rauchbier,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.062,BRIPA,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.062,Mela,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.053,W.I.P.A Snappa,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.063,Pepper in the Rye,Rye Beer,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.064,Moe Lasses',American Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.07,Pumpkin Tart,Fruit / Vegetable Beer,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.067,Undertaker,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.067,Undertaker (2014),Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.05,Coq D'Or,Belgian Pale Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.06,North French,Bière de Garde,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Agent a Deux,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.045,Belgian Wit,Witbier,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.063,Pothole Stout,American Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.093,Tree Bucket,Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.073,Le Flaneur Ale,American Wild Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.056,Maize & Blueberry,Fruit / Vegetable Beer,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.093,Trebuchet Double IPA,American Double / Imperial IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Contemplation,Bière de Garde,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.05,Black Rabbit,American Black Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.09,Zaison,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.082,Vivant Tripel,Tripel,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.098,Tart Side of the Moon,Belgian Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.06,Big Red Coq,American Amber / Red Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.099,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.095,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.092,Escoffier Bretta Ale,American Wild Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Contemplation (2012),Bière de Garde,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.099,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.062,Big Red Coq (2012),American Amber / Red Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.09,Zaison (2012),Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.092,Vivant Tripel (2012),Tripel,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.097,Trebuchet Double IPA (2012),Belgian IPA,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.085,Kludde,Belgian Strong Dark Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.055,Farm Hand,Saison / Farmhouse Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.06,Solitude,Belgian Pale Ale,16,42.9598071,-85.6461228,4.7
Brewery Vivant,Grand Rapids, MI,0.065,Triomphe,Belgian IPA,16,42.9598071,-85.6461228,4.7
Petoskey Brewing,Petoskey, MI,0.041,Sparkle,American Pale Lager,16,45.3968008,-84.9030441,4.5
Petoskey Brewing,Petoskey, MI,0.059,North 45 Amber Ale,American Amber / Red Ale,16,45.3968008,-84.9030441,4.5
Petoskey Brewing,Petoskey, MI,0.069,Horny Monk,Dubbel,16,45.3968008,-84.9030441,4.5
Petoskey Brewing,Petoskey, MI,0.067,Mind's Eye PA,American IPA,16,45.3968008,-84.9030441,4.5
Blackrocks Brewery,Marquette, MI,0.048,Nordskye ,American IPA,12,46.546967,-87.394566,4.8
Blackrocks Brewery,Marquette, MI,0.06,North Third Stout,Foreign / Export Stout,12,46.546967,-87.394566,4.8
Blackrocks Brewery,Marquette, MI,0.052,Honey Lav,American Pale Wheat Ale,12,46.546967,-87.394566,4.8
Blackrocks Brewery,Marquette, MI,0.068,Coconut Brown Ale,American Brown Ale,12,46.546967,-87.394566,4.8
Blackrocks Brewery,Marquette, MI,0.07,51K IPA,American IPA,12,46.546967,-87.394566,4.8
Blackrocks Brewery,Marquette, MI,0.055,Grand Rabbits,Cream Ale,12,46.546967,-87.394566,4.8
Perrin Brewing Company,Comstock Park, MI,0.055,Hotbox Brown,American Brown Ale,12,43.0713315,-85.6814191,4.5
Perrin Brewing Company,Comstock Park, MI,0.048,Gold,American Blonde Ale,12,43.0713315,-85.6814191,4.5
Perrin Brewing Company,Comstock Park, MI,0.058,Black,American Black Ale,12,43.0713315,-85.6814191,4.5
Perrin Brewing Company,Comstock Park, MI,0.065,98 Problems (Cuz A Hop Ain't One),American IPA,12,43.0713315,-85.6814191,4.5
Perrin Brewing Company,Comstock Park, MI,0.05,Veteran’s Pale Ale (VPA),American Pale Ale (APA),12,43.0713315,-85.6814191,4.5
Perrin Brewing Company,Comstock Park, MI,0.05,Grapefruit IPA,American IPA,12,43.0713315,-85.6814191,4.5
Witch's Hat Brewing Company,South Lyon, MI,0.058,Train Hopper,American IPA,12,42.454514,-83.6503454,4.7
Witch's Hat Brewing Company,South Lyon, MI,0.045,Edward’s Portly Brown,American Brown Ale,12,42.454514,-83.6503454,4.7
Founders Brewing Company,Grand Rapids, MI,0.085,Dirty Bastard,Scotch Ale / Wee Heavy,12,42.9584677,-85.6738198,4.5
Founders Brewing Company,Grand Rapids, MI,0.072,Centennial IPA,American IPA,12,42.9584677,-85.6738198,4.5
Founders Brewing Company,Grand Rapids, MI,0.047,All Day IPA,American IPA,12,42.9584677,-85.6738198,4.5
Flat 12 Bierwerks,Indianapolis, IN,0.065,Deflator,Doppelbock,16,39.772835,-86.138683,4.6
Flat 12 Bierwerks,Indianapolis, IN,0.05,Hinchtown Hammer Down,American Blonde Ale,16,39.772835,-86.138683,4.6
Flat 12 Bierwerks,Indianapolis, IN,0.06,Half Cycle IPA,American IPA,16,39.772835,-86.138683,4.6
Tin Man Brewing Company,Evansville, IN,0.058,Cafe Leche,American Porter,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.052,Damascene Apricot Sour,Fruit / Vegetable Beer,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.12,Csar,Russian Imperial Stout,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.055,Klingon Warnog Roggen Dunkel,Roggenbier,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.085,Overlord Imperial IPA,American Double / Imperial IPA,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.058,Alloy,American IPA,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.051,Rivet Irish Red Ale,Irish Red Ale,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.052,3 Gear Robust Porter,American Porter,16,40.4905709,-86.1327196,4.6
Tin Man Brewing Company,Evansville, IN,0.045,Circuit Bohemian Pilsner,Czech Pilsener,16,40.4905709,-86.1327196,4.6
Black Acre Brewing Co.,Indianapolis, IN,0.072,Saucy Intruder,Rye Beer,16,39.7709647,-86.0709176,4.6
Brew Link Brewing,Plainfield, IN,0.058,Insert Hop Reference,American Pale Ale (APA),16,39.6892186,-86.4443325,4.6
Bare Hands Brewery,Granger, IN,0.07,Thai.p.a,American IPA,16,41.7602246,-86.117797,4.7
Three Pints Brewing,Martinsville, IN,0.055,Citra Faced,American Pale Wheat Ale,16,39.677991,-86.3701849,3.4
Three Pints Brewing,Martinsville, IN,0.055,Pole Barn Stout,Oatmeal Stout,16,39.677991,-86.3701849,3.4
Three Pints Brewing,Martinsville, IN,0.054,Pale,American Pale Ale (APA),16,39.677991,-86.3701849,3.4
Three Pints Brewing,Martinsville, IN,0.053,Yoshi's Nectar,California Common / Steam Beer,16,39.677991,-86.3701849,3.4
Four Fathers Brewing ,Valparaiso, IN,0.055,Feel Like Maplin' Love,Oatmeal Stout,16,41.4620151,-87.0145541,4.7
Four Fathers Brewing ,Valparaiso, IN,0.05,Father's Beer,Belgian Pale Ale,16,41.4620151,-87.0145541,4.7
Four Fathers Brewing ,Valparaiso, IN,0.06,The 26th,American IPA,16,41.4620151,-87.0145541,4.7
Four Fathers Brewing ,Valparaiso, IN,0.064,The Gadget,American IPA,16,41.4620151,-87.0145541,4.7
Indiana City Brewing,Indianapolis, IN,0.058,Tribute,American Pale Ale (APA),12,39.766067,-86.141221,4.6
Burn 'Em Brewing,Michigan City, IN,0.065,Wrath of Pele,American Brown Ale,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.068,Black Beer'd,American Black Ale,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.078,Mr. Tea,Fruit / Vegetable Beer,24,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.055,Pale Alement,American Pale Ale (APA),12,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.099,Hopkick Dropkick,American Double / Imperial IPA,12,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.06,Kreamed Corn,Cream Ale,12,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.065,Coconoats,American Pale Wheat Ale,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.068,Joey Wheat,American Pale Wheat Ale,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.072,3:33 Black IPA,American IPA,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.068,MCA,American IPA,16,41.738628,-86.828022,4.7
Burn 'Em Brewing,Michigan City, IN,0.055,Pale Alement,American Pale Ale (APA),16,41.738628,-86.828022,4.7
Sun King Brewing Company,Indianapolis, IN,0.052,Tip Off,Altbier,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.054,Java Mac,Scottish Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.054,Cowbell,American Porter,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.058,Hop Up Offa That Brett (2014),Belgian Pale Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.083,PV Muckle (2013),Scotch Ale / Wee Heavy,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.099,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.09,Whip Fight,Scotch Ale / Wee Heavy,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.053,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.064,Fistful Of Hops Red,American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.063,Fistful of Hops Orange,American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.064,Fistful Of Hops Blue,American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.064,Fistful of Hops Green,American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,,30 Min Coma,Belgian IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.09,Wee Muckle,Scotch Ale / Wee Heavy,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.065,Royal Brat,Extra Special / Strong Bitter (ESB),16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.075,Grapefruit Jungle (GFJ),American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.056,Osiris Pale Ale,American Pale Ale (APA),16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.099,Bourbon Barrel Aged Timmie,Russian Imperial Stout,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.063,Stupid Sexy Flanders,Flanders Oud Bruin,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,,Bourbon Barrel Cowbell,American Porter,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.054,Popcorn Pilsner,German Pilsener,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.071,Ring of Dingle,Irish Dry Stout,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.054,Bourbon Barrel Wee Mac,Scottish Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.099,Bourbon Barrel Johan,English Barleywine,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.07,The Deuce,American Brown Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.09,The Velvet Fog,Quadrupel (Quad),16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.055,Sun King Oktoberfest,Märzen / Oktoberfest,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.052,Indianapolis Indians Lager,Dortmunder / Export Lager,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.052,Indians Victory Lager (2012),Dortmunder / Export Lager,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.08,Chaka,Belgian Strong Pale Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.091,Isis,American Double / Imperial IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.09,Wee Muckle (2011),Scotch Ale / Wee Heavy,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.075,Grapefruit Jungle (GFJ) (2011),American IPA,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.055,Sun King Oktoberfest (2011),Märzen / Oktoberfest,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.099,Johan the Barleywine,English Barleywine,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.054,Wee Mac Scottish-Style Ale,Scottish Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.053,Sunlight Cream Ale,Cream Ale,16,39.7690405,-86.1446018,4.6
Sun King Brewing Company,Indianapolis, IN,0.056,Osiris Pale Ale (2010),American Pale Ale (APA),16,39.7690405,-86.1446018,4.6
Evil Czech Brewery,Mishawaka, IN,0.049,Blonde Czich,American Blonde Ale,16,41.693945,-86.1822832,4.5
Evil Czech Brewery,Mishawaka, IN,0.07,White Reaper,Belgian IPA,16,41.693945,-86.1822832,4.5
Evil Czech Brewery,Mishawaka, IN,0.051,Bobblehead,American Pale Wheat Ale,16,41.693945,-86.1822832,4.5
Evil Czech Brewery,Mishawaka, IN,0.052,Lucky Dog,American Pale Ale (APA),16,41.693945,-86.1822832,4.5
Evil Czech Brewery,Mishawaka, IN,0.048,Voodoo,American Porter,16,41.693945,-86.1822832,4.5
Evil Czech Brewery,Mishawaka, IN,0.054,General George Patton Pilsner,Czech Pilsener,16,41.693945,-86.1822832,4.5
450 North Brewing Company,Columbus, IN,0.065,Galaxyfest,American IPA,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.05,Citrafest,American IPA,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.09,Barn Yeti,Belgian Strong Dark Ale,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.069,Scarecrow,American IPA,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.09,Ironman,English Strong Ale,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.046,Honey Kolsch,Kölsch,16,39.2678493,-85.8320882,4.4
450 North Brewing Company,Columbus, IN,0.052,Copperhead Amber,Belgian Dark Ale,16,39.2678493,-85.8320882,4.4
Taxman Brewing Company,Bargersville, IN,0.08,Deduction,Dubbel,12,39.5209551,-86.1670716,4.5
Cedar Creek Brewery,Seven Points, TX,0.085,Gone A-Rye,American Double / Imperial IPA,16,32.3230568,-96.2068735,4.5
Cedar Creek Brewery,Seven Points, TX,,Special Release,,16,32.3230568,-96.2068735,4.5
Cedar Creek Brewery,Seven Points, TX,0.068,Dankosaurus,American IPA,16,32.3230568,-96.2068735,4.5
Cedar Creek Brewery,Seven Points, TX,0.051,Scruffy's Smoked Alt,Smoked Beer,16,32.3230568,-96.2068735,4.5
